sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value
Ag,Water_all,Water,Policy,0,Argentina,RioNegro_baja,km3,param,0.495000425000001
cap,Agriculture_all,Agriculture,Policy,0,Argentina,RioNegro_baja,km2,param,102.393
cap,Electricity_all,Electricity,Policy,0,Argentina,RioNegro_baja,GWh,param,106.327429
cap,Water_all,Water,Policy,0,Argentina,RioNegro_baja,km3,param,2.172311793
capNew,Agriculture_all,Agriculture,Policy,0,Argentina,RioNegro_baja,km2,param,102.393
capNew,Electricity_all,Electricity,Policy,0,Argentina,RioNegro_baja,GWh,param,106.327429
capOrig,Water_all,Water,Policy,0,Argentina,RioNegro_baja,km3,param,2.172311793
commercial,Electricity_all,Electricity,Policy,0,Argentina,RioNegro_baja,GWh,param,20.835906
downstream,Water_all,Water,Policy,0,Argentina,RioNegro_baja,km3,param,1.675211368
export,Agriculture_all,Agriculture,Policy,0,Argentina,RioNegro_baja,km2,param,102.393
industrial,Electricity_all,Electricity,Policy,0,Argentina,RioNegro_baja,GWh,param,24.013419
municipal,Water_all,Water,Policy,0,Argentina,RioNegro_baja,km3,param,0.0021
other,Electricity_all,Electricity,Policy,0,Argentina,RioNegro_baja,GWh,param,24.52153
residential,Electricity_all,Electricity,Policy,0,Argentina,RioNegro_baja,GWh,param,36.956574
total,Agriculture_all,Agriculture,Policy,0,Argentina,RioNegro_baja,km2,param,102.393
total,Electricity_all,Electricity,Policy,0,Argentina,RioNegro_baja,GWh,param,106.327429
total,Water_all,Water,Policy,0,Argentina,RioNegro_baja,km3,param,2.172311793
