"scenario","region","subRegion","sources","param","units","class","x","value","subRegType","classPalette1","classLabel1","classPalette","classLabel"
"Reference","Argentina","Corfo","localData","municipal_water_demand","km3","Municipal",2010,0.00252,"localBasin",NA,NA,"pal_ColoradoWater","MunicipalWatDemand"
"Reference","Argentina","LaPampa_baja","localData","municipal_water_demand","km3","Municipal",2010,0.00083,"localBasin",NA,NA,"pal_ColoradoWater","MunicipalWatDemand"
"Reference","Argentina","LaPampa_media","localData","municipal_water_demand","km3","Municipal",2010,0.00166,"localBasin",NA,NA,"pal_ColoradoWater","MunicipalWatDemand"
"Reference","Argentina","Mendoza_alta_barrancas","localData","municipal_water_demand","km3","Municipal",2010,0,"localBasin",NA,NA,"pal_ColoradoWater","MunicipalWatDemand"
"Reference","Argentina","Mendoza_alta_riogrande","localData","municipal_water_demand","km3","Municipal",2010,0,"localBasin",NA,NA,"pal_ColoradoWater","MunicipalWatDemand"
"Reference","Argentina","Mendoza_media","localData","municipal_water_demand","km3","Municipal",2010,0.0012,"localBasin",NA,NA,"pal_ColoradoWater","MunicipalWatDemand"
"Reference","Argentina","Neuquen_alta_barrancas","localData","municipal_water_demand","km3","Municipal",2010,0.00026,"localBasin",NA,NA,"pal_ColoradoWater","MunicipalWatDemand"
"Reference","Argentina","Neuquen_media","localData","municipal_water_demand","km3","Municipal",2010,0.00298,"localBasin",NA,NA,"pal_ColoradoWater","MunicipalWatDemand"
"Reference","Argentina","RioNegro_baja","localData","municipal_water_demand","km3","Municipal",2010,0.0021,"localBasin",NA,NA,"pal_ColoradoWater","MunicipalWatDemand"
"Reference","Argentina","RioNegro_media","localData","municipal_water_demand","km3","Municipal",2010,0.00277,"localBasin",NA,NA,"pal_ColoradoWater","MunicipalWatDemand"
