"scenario","region","subRegion","sources","param","units","class","x","value","subRegType","classPalette1","classLabel1","classPalette","classLabel"
"Policy","Argentina","Corfo","localData","ElecDemand_export","GWh","ElecDemand_export",2010,0,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_export"
"Policy","Argentina","LaPampa_baja","localData","ElecDemand_export","GWh","ElecDemand_export",2010,0,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_export"
"Policy","Argentina","LaPampa_media","localData","ElecDemand_export","GWh","ElecDemand_export",2010,134.218,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_export"
"Policy","Argentina","Mendoza_alta_barrancas","localData","ElecDemand_export","GWh","ElecDemand_export",2010,0,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_export"
"Policy","Argentina","Mendoza_alta_riogrande","localData","ElecDemand_export","GWh","ElecDemand_export",2010,0,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_export"
"Policy","Argentina","Mendoza_media","localData","ElecDemand_export","GWh","ElecDemand_export",2010,0,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_export"
"Policy","Argentina","Neuquen_alta_barrancas","localData","ElecDemand_export","GWh","ElecDemand_export",2010,0,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_export"
"Policy","Argentina","Neuquen_media","localData","ElecDemand_export","GWh","ElecDemand_export",2010,4.216127,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_export"
"Policy","Argentina","RioNegro_baja","localData","ElecDemand_export","GWh","ElecDemand_export",2010,0,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_export"
"Policy","Argentina","RioNegro_media","localData","ElecDemand_export","GWh","ElecDemand_export",2010,0,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_export"
