"scenario","region","subRegion","sources","param","units","class","x","value","subRegType","classPalette1","classLabel1","classPalette","classLabel"
"Policy","Argentina","Corfo","localData","ElecDemand_residential","GWh","ElecDemand_residential",2010,41.523715,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_residential"
"Policy","Argentina","LaPampa_baja","localData","ElecDemand_residential","GWh","ElecDemand_residential",2010,4.064913,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_residential"
"Policy","Argentina","LaPampa_media","localData","ElecDemand_residential","GWh","ElecDemand_residential",2010,9.236426,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_residential"
"Policy","Argentina","Mendoza_alta_barrancas","localData","ElecDemand_residential","GWh","ElecDemand_residential",2010,0,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_residential"
"Policy","Argentina","Mendoza_alta_riogrande","localData","ElecDemand_residential","GWh","ElecDemand_residential",2010,23.828639002,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_residential"
"Policy","Argentina","Mendoza_media","localData","ElecDemand_residential","GWh","ElecDemand_residential",2010,0,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_residential"
"Policy","Argentina","Neuquen_alta_barrancas","localData","ElecDemand_residential","GWh","ElecDemand_residential",2010,7.46025,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_residential"
"Policy","Argentina","Neuquen_media","localData","ElecDemand_residential","GWh","ElecDemand_residential",2010,57.470153,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_residential"
"Policy","Argentina","RioNegro_baja","localData","ElecDemand_residential","GWh","ElecDemand_residential",2010,36.956574,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_residential"
"Policy","Argentina","RioNegro_media","localData","ElecDemand_residential","GWh","ElecDemand_residential",2010,270.82852635,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_residential"
