"scenario","region","subRegion","sources","param","units","class","x","value","subRegType","classPalette1","classLabel1","classPalette","classLabel"
"Reference","Argentina","Corfo","localData","Ag_forest_supply","land (km^2)","Ag_forest_supply",2010,0,"localBasin",NA,NA,"pal_ColoradoLandAlloc","Ag_forest_supply"
"Reference","Argentina","LaPampa_baja","localData","Ag_forest_supply","land (km^2)","Ag_forest_supply",2010,0,"localBasin",NA,NA,"pal_ColoradoLandAlloc","Ag_forest_supply"
"Reference","Argentina","LaPampa_media","localData","Ag_forest_supply","land (km^2)","Ag_forest_supply",2010,0,"localBasin",NA,NA,"pal_ColoradoLandAlloc","Ag_forest_supply"
"Reference","Argentina","Mendoza_alta_barrancas","localData","Ag_forest_supply","land (km^2)","Ag_forest_supply",2010,0,"localBasin",NA,NA,"pal_ColoradoLandAlloc","Ag_forest_supply"
"Reference","Argentina","Mendoza_alta_riogrande","localData","Ag_forest_supply","land (km^2)","Ag_forest_supply",2010,0,"localBasin",NA,NA,"pal_ColoradoLandAlloc","Ag_forest_supply"
"Reference","Argentina","Mendoza_media","localData","Ag_forest_supply","land (km^2)","Ag_forest_supply",2010,0,"localBasin",NA,NA,"pal_ColoradoLandAlloc","Ag_forest_supply"
"Reference","Argentina","Neuquen_alta_barrancas","localData","Ag_forest_supply","land (km^2)","Ag_forest_supply",2010,0.15,"localBasin",NA,NA,"pal_ColoradoLandAlloc","Ag_forest_supply"
"Reference","Argentina","Neuquen_media","localData","Ag_forest_supply","land (km^2)","Ag_forest_supply",2010,0,"localBasin",NA,NA,"pal_ColoradoLandAlloc","Ag_forest_supply"
"Reference","Argentina","RioNegro_baja","localData","Ag_forest_supply","land (km^2)","Ag_forest_supply",2010,0,"localBasin",NA,NA,"pal_ColoradoLandAlloc","Ag_forest_supply"
"Reference","Argentina","RioNegro_media","localData","Ag_forest_supply","land (km^2)","Ag_forest_supply",2010,0.63,"localBasin",NA,NA,"pal_ColoradoLandAlloc","Ag_forest_supply"
