"scenario","region","subRegion","sources","param","units","class","x","value","subRegType","classPalette1","classLabel1","classPalette","classLabel"
"Reference","Argentina","Corfo","localData","total_water_demand","km3","WaterDemand",2010,1.907484496,"localBasin",NA,NA,"pal_wet","WaterDemand"
"Reference","Argentina","LaPampa_baja","localData","total_water_demand","km3","WaterDemand",2010,0.007970148,"localBasin",NA,NA,"pal_wet","WaterDemand"
"Reference","Argentina","LaPampa_media","localData","total_water_demand","km3","WaterDemand",2010,0.234659999,"localBasin",NA,NA,"pal_wet","WaterDemand"
"Reference","Argentina","Mendoza_alta_barrancas","localData","total_water_demand","km3","WaterDemand",2010,0.001,"localBasin",NA,NA,"pal_wet","WaterDemand"
"Reference","Argentina","Mendoza_alta_riogrande","localData","total_water_demand","km3","WaterDemand",2010,3.14e-07,"localBasin",NA,NA,"pal_wet","WaterDemand"
"Reference","Argentina","Mendoza_media","localData","total_water_demand","km3","WaterDemand",2010,0.0012,"localBasin",NA,NA,"pal_wet","WaterDemand"
"Reference","Argentina","Neuquen_alta_barrancas","localData","total_water_demand","km3","WaterDemand",2010,0.00896,"localBasin",NA,NA,"pal_wet","WaterDemand"
"Reference","Argentina","Neuquen_media","localData","total_water_demand","km3","WaterDemand",2010,0.0686861,"localBasin",NA,NA,"pal_wet","WaterDemand"
"Reference","Argentina","RioNegro_baja","localData","total_water_demand","km3","WaterDemand",2010,0.271855,"localBasin",NA,NA,"pal_wet","WaterDemand"
"Reference","Argentina","RioNegro_media","localData","total_water_demand","km3","WaterDemand",2010,0.18127,"localBasin",NA,NA,"pal_wet","WaterDemand"
