"scenario","region","subRegion","sources","param","units","class","x","value","subRegType","classPalette1","classLabel1","classPalette","classLabel"
"Policy","Argentina","Corfo","localData","Ag_pasture_supply","land (km^2)","Ag_pasture_supply",2010,742,"localBasin",NA,NA,"pal_green","Ag_pasture_supply"
"Policy","Argentina","LaPampa_baja","localData","Ag_pasture_supply","land (km^2)","Ag_pasture_supply",2010,306.11837,"localBasin",NA,NA,"pal_green","Ag_pasture_supply"
"Policy","Argentina","LaPampa_media","localData","Ag_pasture_supply","land (km^2)","Ag_pasture_supply",2010,13.2,"localBasin",NA,NA,"pal_green","Ag_pasture_supply"
"Policy","Argentina","Mendoza_alta_barrancas","localData","Ag_pasture_supply","land (km^2)","Ag_pasture_supply",2010,0,"localBasin",NA,NA,"pal_green","Ag_pasture_supply"
"Policy","Argentina","Mendoza_alta_riogrande","localData","Ag_pasture_supply","land (km^2)","Ag_pasture_supply",2010,0,"localBasin",NA,NA,"pal_green","Ag_pasture_supply"
"Policy","Argentina","Mendoza_media","localData","Ag_pasture_supply","land (km^2)","Ag_pasture_supply",2010,0,"localBasin",NA,NA,"pal_green","Ag_pasture_supply"
"Policy","Argentina","Neuquen_alta_barrancas","localData","Ag_pasture_supply","land (km^2)","Ag_pasture_supply",2010,0.53,"localBasin",NA,NA,"pal_green","Ag_pasture_supply"
"Policy","Argentina","Neuquen_media","localData","Ag_pasture_supply","land (km^2)","Ag_pasture_supply",2010,6.22,"localBasin",NA,NA,"pal_green","Ag_pasture_supply"
"Policy","Argentina","RioNegro_baja","localData","Ag_pasture_supply","land (km^2)","Ag_pasture_supply",2010,20.09325,"localBasin",NA,NA,"pal_green","Ag_pasture_supply"
"Policy","Argentina","RioNegro_media","localData","Ag_pasture_supply","land (km^2)","Ag_pasture_supply",2010,22.25,"localBasin",NA,NA,"pal_green","Ag_pasture_supply"
