"scenario","region","subRegion","sources","param","units","class","x","value","subRegType","classPalette1","classLabel1","classPalette","classLabel"
"Policy","Argentina","Corfo","localData","Ag_fruittrees_supply","land (km^2)","Ag_fruittrees_supply",2010,0,"localBasin",NA,NA,"pal_green","Ag_fruittrees_supply"
"Policy","Argentina","LaPampa_baja","localData","Ag_fruittrees_supply","land (km^2)","Ag_fruittrees_supply",2010,0,"localBasin",NA,NA,"pal_green","Ag_fruittrees_supply"
"Policy","Argentina","LaPampa_media","localData","Ag_fruittrees_supply","land (km^2)","Ag_fruittrees_supply",2010,31.1,"localBasin",NA,NA,"pal_green","Ag_fruittrees_supply"
"Policy","Argentina","Mendoza_alta_barrancas","localData","Ag_fruittrees_supply","land (km^2)","Ag_fruittrees_supply",2010,0.02,"localBasin",NA,NA,"pal_green","Ag_fruittrees_supply"
"Policy","Argentina","Mendoza_alta_riogrande","localData","Ag_fruittrees_supply","land (km^2)","Ag_fruittrees_supply",2010,0,"localBasin",NA,NA,"pal_green","Ag_fruittrees_supply"
"Policy","Argentina","Mendoza_media","localData","Ag_fruittrees_supply","land (km^2)","Ag_fruittrees_supply",2010,0,"localBasin",NA,NA,"pal_green","Ag_fruittrees_supply"
"Policy","Argentina","Neuquen_alta_barrancas","localData","Ag_fruittrees_supply","land (km^2)","Ag_fruittrees_supply",2010,0,"localBasin",NA,NA,"pal_green","Ag_fruittrees_supply"
"Policy","Argentina","Neuquen_media","localData","Ag_fruittrees_supply","land (km^2)","Ag_fruittrees_supply",2010,0.06,"localBasin",NA,NA,"pal_green","Ag_fruittrees_supply"
"Policy","Argentina","RioNegro_baja","localData","Ag_fruittrees_supply","land (km^2)","Ag_fruittrees_supply",2010,34.6815,"localBasin",NA,NA,"pal_green","Ag_fruittrees_supply"
"Policy","Argentina","RioNegro_media","localData","Ag_fruittrees_supply","land (km^2)","Ag_fruittrees_supply",2010,1.5,"localBasin",NA,NA,"pal_green","Ag_fruittrees_supply"
