"scenario","region","subRegion","sources","param","units","class","x","value","subRegType","classPalette1","classLabel1","classPalette","classLabel"
"Policy","Argentina","Corfo","localData","total_elec_supply","GWh","ElecSupply",2010,0,"localBasin",NA,NA,"pal_hot","ElecSupply"
"Policy","Argentina","LaPampa_baja","localData","total_elec_supply","GWh","ElecSupply",2010,0.981792,"localBasin",NA,NA,"pal_hot","ElecSupply"
"Policy","Argentina","LaPampa_media","localData","total_elec_supply","GWh","ElecSupply",2010,157.78705,"localBasin",NA,NA,"pal_hot","ElecSupply"
"Policy","Argentina","Mendoza_alta_barrancas","localData","total_elec_supply","GWh","ElecSupply",2010,0,"localBasin",NA,NA,"pal_hot","ElecSupply"
"Policy","Argentina","Mendoza_alta_riogrande","localData","total_elec_supply","GWh","ElecSupply",2010,2.075788799,"localBasin",NA,NA,"pal_hot","ElecSupply"
"Policy","Argentina","Mendoza_media","localData","total_elec_supply","GWh","ElecSupply",2010,0,"localBasin",NA,NA,"pal_hot","ElecSupply"
"Policy","Argentina","Neuquen_alta_barrancas","localData","total_elec_supply","GWh","ElecSupply",2010,0,"localBasin",NA,NA,"pal_hot","ElecSupply"
"Policy","Argentina","Neuquen_media","localData","total_elec_supply","GWh","ElecSupply",2010,700.508592,"localBasin",NA,NA,"pal_hot","ElecSupply"
"Policy","Argentina","RioNegro_baja","localData","total_elec_supply","GWh","ElecSupply",2010,0,"localBasin",NA,NA,"pal_hot","ElecSupply"
"Policy","Argentina","RioNegro_media","localData","total_elec_supply","GWh","ElecSupply",2010,157.788,"localBasin",NA,NA,"pal_hot","ElecSupply"
